x,y,color
279.9250275,310.3278442,3
402.9678488,84.95383835,3
432.8997557,241.3041973,3
355.7665465,72.82111134,3
320.4296208,240.7663301,1
266.8752772,124.1746639,0
218.7856708,310.0537516,3
242.9221616,184.3188388,1
398.160413,108.1433495,3
315.2320863,227.490503,1
277.960527,158.5623247,1
278.7517183,329.7604247,3
371.9192753,246.470862,0
358.6289835,254.0921339,0
303.7837586,192.0633522,2
269.5475799,230.7974402,1
309.2266688,123.1374216,0
379.3448272,328.4921666,3
249.9266066,110.1393558,0
229.1691598,325.1938061,3
184.0289345,259.8146511,3
290.0035185,264.5081126,0
275.6082747,264.6003689,0
376.9217238,289.2900528,3
332.6131589,134.6929236,0
216.8370828,157.8081091,0
386.2985564,206.7128506,0
299.2193247,329.0843752,3
278.734786,228.4236644,1
196.6253385,290.1575944,3
240.0819927,74.73686497,3
164.5218756,259.138363,3
177.3028831,257.4801451,3
382.166284,156.4396086,0
262.0299261,185.0470869,1
208.9809583,203.5644127,0
335.3941216,186.1066348,1
339.1170967,169.0718074,1
332.5769992,315.9750514,3
229.6597676,152.9328888,0
153.4364483,168.1938813,3
337.4913114,227.2701565,1
199.8523395,185.1915563,0
159.0674151,160.2087311,3
246.8284678,221.4766326,1
349.2157506,201.1022989,1
155.7441889,245.6323367,3
327.9287137,286.4050335,0
163.198706,145.6042337,3
299.4395626,190.0543281,2
333.1267131,209.7652222,1
179.5042532,115.5872726,3
235.0622708,141.6422861,0
366.344273,130.8349038,0
267.4638745,314.5619831,3
284.2430589,273.9907178,0
335.2543795,327.1152828,3
296.3433277,211.9437224,2
277.814119,171.5018723,1
269.6529542,274.183637,0
316.6877182,74.22520126,3
418.8922009,143.2422448,3
147.6595099,203.7389793,3
303.1095083,149.0051244,1
246.9355483,216.6493998,1
191.7237496,290.2637766,3
432.0262109,209.1896375,3
210.7557884,223.114559,0
378.6981913,289.5327685,3
265.7403178,159.4853902,1
298.7592936,207.4646775,2
211.1388162,292.722114,3
231.6668691,259.8873952,0
251.6888831,121.304538,0
334.9200543,109.6738373,0
266.2239412,102.2095967,0
384.3433656,76.34610277,3
352.0303532,260.2847635,0
288.0848584,187.5330822,2
262.2564591,73.93792406,3
311.1564564,226.9643641,1
221.3221462,260.5777642,0
272.9620085,276.99065,0
407.319125,131.7705443,3
412.8343374,238.1469918,3
265.7167016,107.765125,0
420.1432846,183.2396743,3
398.5408065,66.57342914,3
258.3281932,86.26314011,3
343.1398667,331.6969505,3
385.6602778,100.9762343,3
258.9495209,261.3616918,0
185.2262309,294.4852674,3
144.4743381,237.3175202,3
273.5836528,107.3614179,0
360.9975821,145.2318167,0
333.5328309,59.12524098,3
273.1090385,54.73813522,3
267.5135912,164.6961681,1
353.7750499,325.3427605,3
371.7342669,181.7211454,0
282.8166896,245.9217199,1
344.9143949,125.2578899,0
432.5111452,136.2236745,3
228.9512045,315.8819477,3
233.290094,325.1856282,3
321.0495707,156.8924034,1
323.6029629,227.659537,1
424.2641721,125.6372461,3
293.8767306,242.7357601,1
408.0017456,139.5770388,3
237.2523616,259.7104783,0
368.1546892,132.8867413,0
235.4971142,303.3756182,3
257.0104381,193.4175519,1
279.8182315,160.8856234,1
398.1081084,274.4018954,3
389.0299803,88.71684998,3
280.4828402,228.2076861,1
325.2243004,104.0330489,0
171.6350622,279.3953934,3
427.215691,209.6888518,3
369.9564627,134.4472717,0
377.9036671,138.5376086,0
390.0006675,218.5458644,0
208.3011074,301.1639203,3
287.2268066,149.2636514,1
237.6159655,299.1057642,3
337.8515494,57.22276246,3
294.0676591,206.1806942,2
328.8434479,110.5439938,0
217.6685312,188.7117505,0
218.5601862,94.03224408,3
392.614941,103.9860709,3
297.9431816,188.1154093,2
215.0258126,188.6882344,0
201.7389309,159.5147563,0
334.7188782,208.2738662,1
184.8787249,279.7553964,3
153.7177896,244.4484267,3
233.1721267,255.9453911,0
412.6756423,268.4204845,3
266.2411239,173.1565585,1
200.6150665,104.8804953,3
289.4625162,111.0380921,0
434.8522036,231.3305488,3
330.1246565,218.4532511,1
306.0603802,143.185156,1
295.9275728,267.6570868,0
259.5871803,175.4418114,1
342.70261,131.7125474,0
371.260119,236.7857044,0
164.202615,127.8026422,3
439.8577196,147.9361616,3
243.967798,80.23868411,3
383.9533245,164.5080356,0
286.637,206.1322006,2
259.5787145,121.0047349,0
204.8239224,219.3975417,0
417.6905095,206.7262453,3
291.7750247,70.49241905,3
142.9926833,174.1927868,3
289.7117434,193.6763299,2
302.3290707,106.9613116,0
332.4804467,124.7763221,0
307.7493116,320.551656,3
347.097351,206.9396711,1
277.0420604,244.7583271,1
374.102087,313.3379849,3
338.8183814,222.7228668,1
290.3151812,201.0570705,2
230.5129269,323.4138255,3
394.5766749,100.0102494,3
281.3714831,163.3723859,1
370.2263296,79.40980615,3
349.9429135,263.5514768,0
240.6710766,119.7141026,0
374.4493663,210.3150595,0
